,mean,std,min,25%,50%,75%,max,count
MV.MBWH..SHZ,0.9102130005692034,0.6587203884342682,0.20171195890758273,0.5395152912662659,0.7186834944782131,0.8775116560716342,2.8264010118577514,36.0
MV.MBLG..SHZ,,,,,,,,0.0
MV.MBRY..BHZ,3.358372248041928,2.528100591844949,1.1567178061795764,1.9234952563894978,2.46531962781791,3.8655163628082896,8.308545063900437,7.0
MV.MBRY..BHN,3.9206716562358537,1.0782417734080427,2.5017513664198776,3.571449253957261,3.6330419839438393,4.548995967679958,5.348119709178334,5.0
MV.MBRY..BHE,3.7668181973854225,0.9593495645369603,2.415396361743422,3.5061385378094543,3.887935170082673,3.937451893053831,5.087169024237733,5.0
MV.MBSS..SHZ,,,,,,,,0.0
MV.MBBY..BHN,,,,,,,,0.0
MV.MBBY..BHE,,,,,,,,0.0
MV.MBGB..BHZ,1.1761628879809334,0.47388479324211624,0.20089377834013877,0.917251921894426,1.096794172145486,1.3033815900721362,2.761921233735557,38.0
MV.MBGB..BHN,2.493507319418258,0.9569017302511608,0.3834110587818053,2.072843177152661,2.381252734633395,2.6277147551476583,5.724319162387523,38.0
MV.MBGB..BHE,2.5629594226175945,0.9906760523957079,0.5738580794021664,2.100000275413179,2.4361755127263605,2.771036712073602,6.704723219891167,38.0
MV.MBMH..SHZ,,,,,,,,0.0
MV.MBMH..SHN,,,,,,,,0.0
MV.MBMH..SHE,,,,,,,,0.0
MV.MBBY..HHZ,0.736122693071551,0.23613787396941247,0.36662371688494305,0.6146614379806736,0.6877584835489655,0.8142104195215121,2.2458275716870935,289.0
MV.MBBY..HHN,1.0334628296113881,0.22209154380276278,0.5350776545337538,0.8854517153789525,1.0107670467141974,1.15423797378569,1.9076234213700498,288.0
MV.MBBY..HHE,1.0,0.0,1.0,1.0,1.0,1.0,1.0,291.0
MV.MBGB..HHZ,0.7051370921036572,0.38635819478439465,0.12932819270189003,0.4068121830442591,0.612001711387748,0.9041402189068365,2.0439705364126444,218.0
MV.MBGB..HHN,1.4372467457789349,0.8011386100603713,0.3265385379455696,0.8382072774698823,1.1897852074044477,1.770995544750892,5.109191268236457,221.0
MV.MBGB..HHE,1.4156165353916008,0.7375021434210877,0.2700703351908482,0.8701748839198383,1.2284181080066423,1.8246522193636454,4.322773920106381,222.0
MV.MBGH..HHZ,2.5025925061363368,1.8080059882601132,0.11909142982731247,1.0904410570767868,1.8565028987587369,3.336155640197476,9.39590329544291,227.0
MV.MBGH..HHN,3.5653949516270957,2.3405969283728765,0.7887442292010328,1.6093887626712278,2.910515034704527,4.975824534382232,9.662785758796087,229.0
MV.MBGH..HHE,3.629035228437011,2.365489726398476,0.826929837670456,1.759751424239274,2.851198895661784,4.841698058813497,9.677347776259218,219.0
MV.MBHA..HHZ,2.4268547048334175,2.0811343712285635,0.1352449946382494,0.959232087824893,1.3917412325617358,3.616206025629126,9.06065461969298,212.0
MV.MBHA..HHN,3.4162918754473535,2.5322740677085998,0.22848269031534763,1.5167154566003218,2.267931257584339,5.1254587769575695,9.595088199958878,192.0
MV.MBHA..HHE,3.0821655800267123,2.497020811360153,0.28316013569394294,1.2373094882971565,1.818117559825613,4.966671813052497,9.955112214509674,211.0
MV.MBLG..HHZ,1.179678383205225,0.6721719912139427,0.2516644374940981,0.7512885875970599,0.9977651320777743,1.4073244726767733,5.906059283515152,222.0
MV.MBLG..HHN,1.6261409254223917,0.7431999301958944,0.10600830789270986,1.105472423741902,1.4363963543707732,1.9606378890659883,5.701564836883936,225.0
MV.MBLG..HHE,0.834395773028567,0.3612283732885969,0.24018790235473053,0.5959210618944276,0.764157509241013,0.9760205836475572,2.99625958532451,225.0
MV.MBLY..HHZ,1.235768741301453,0.8673565772221865,0.27568580529167414,0.5821824100694135,0.8076668830691102,1.7851587831734008,4.195015114667524,213.0
MV.MBLY..HHN,2.6666368583060676,1.9841015304326908,0.16780656846267186,1.1842693324054872,1.672936765266783,4.105036123753787,9.568126395341132,217.0
MV.MBLY..HHE,2.554265323825971,1.7954475464799,0.1508071908028618,1.155136269737773,1.6533073340703655,3.7872580219411076,8.413514525103656,219.0
MV.MBRV..EHZ,,,,,,,,0.0
MV.MBRY..HHZ,0.9618773306218215,0.6830307095063748,0.2586625401275933,0.5398319239473468,0.7318329413112125,1.1583180459632685,4.642113210253499,248.0
MV.MBRY..HHN,1.9135559031077851,1.2411629989061572,0.13893485988941331,1.096913438729304,1.5001274875741437,2.2522618613103784,7.689296822353188,248.0
MV.MBRY..HHE,1.7996588286692174,1.183806319137486,0.44502631295330003,1.075878717270011,1.36657178188827,2.160570622440097,6.725635647261557,245.0
MV.MBWH..HHZ,0.4856927019636657,0.36842904975927365,0.10789495324794442,0.20290168448775694,0.378395866711251,0.6639050074365712,1.9964754607530124,228.0
MV.MBWH..HHN,0.9206594036011007,0.6431536160353806,0.18623864637730506,0.40335558722645654,0.7630658311395644,1.2746836463090232,3.6210807696177114,231.0
MV.MBWH..HHE,1.1298231546060047,0.7156402158688735,0.27379374501907316,0.5370158369377546,0.9581208910360486,1.5272582780291863,4.027278759099585,230.0
MV.MBFL..EHZ,0.5188383348770492,0.30975818959705714,0.11990705873976036,0.2815809655992705,0.5072355621468081,0.6743389771941148,1.6673396347815799,67.0
MV.MBFR..HHZ,1.299949044289826,0.7605565346546298,0.4598771641423753,0.8052421815764544,1.0793136704185484,1.5710907659448883,5.249912669980117,143.0
MV.MBFR..HHN,3.1546439681468916,1.4479420896589286,1.0175956191153972,2.167024928854669,2.778020263618227,3.8875006042074625,7.0618829026013685,145.0
MV.MBFR..HHE,3.15551989228373,1.5857136435878787,1.0633022749831906,2.123391215038847,2.6809187224412545,3.620422034027653,8.862116403970019,145.0
MV.MBGH.01.EHE,,,,,,,,0.0
MV.MBGH..BHZ,2.063910514138322,0.9446549584861121,1.1404578434700734,1.5299729146975527,1.8614977518243496,2.109425497054823,6.018826225963393,40.0
MV.MBRV..SHZ,1.2933928722441255,1.7469873877158006,0.24273766451099432,0.4105543637795026,0.501024588621445,1.0867901898257997,6.8828661383491045,18.0
MV.MBGH..BHE,3.646215155849642,1.2856465873493086,1.8325337614082151,2.789850280727674,3.4343484813746503,4.149575860728909,7.881989839780268,39.0
MV.MBGH..BHN,3.2223820330850517,1.2466687900834181,1.7378495727774466,2.5100786812618505,3.0136926631994863,3.493045911384419,7.2590223499260285,40.0
MV.MBBY..BHZ,,,,,,,,0.0
MV.MBGH.02.EHE,,,,,,,,0.0
MV.MBLY.06.EHE,,,,,,,,0.0
MV.MBLG..SHE,,,,,,,,0.0
MV.MBLYT..HHZ,,,,,,,,0.0
MV.MBLYT..HHN,,,,,,,,0.0
MV.MBLYT..HHE,,,,,,,,0.0
MV.MBLG.10.SHZ,,,,,,,,0.0
MV.MBGA..BHZ,,,,,,,,0.0
MV.MBGA..BHN,,,,,,,,0.0
MV.MBGA..BHE,,,,,,,,0.0
MV.MBRY..SHZ,,,,,,,,0.0
MV.MBGE..BHZ,,,,,,,,0.0
MV.MBGE..BHN,,,,,,,,0.0
MV.MBGE..BHE,,,,,,,,0.0
MV.MBBE..BHZ,,,,,,,,0.0
MV.MBBE..BHN,,,,,,,,0.0
MV.MBBE..BHE,,,,,,,,0.0
MV.MBLY.03.EHE,,,,,,,,0.0
MV.MBLY.01.EHE,,,,,,,,0.0
MV.MBGH.01.HH1,,,,,,,,0.0
MV.MBGH.02.HH2,,,,,,,,0.0
MV.MBLY.05.EHE,,,,,,,,0.0
MV.MBBY..SHZ,,,,,,,,0.0
MV.MBUN..SHZ,,,,,,,,0.0
MV.MBFL..HHZ,,,,,,,,0.0
MV.MBLY.04.EHE,,,,,,,,0.0
MV.DD43..HHE,,,,,,,,0.0
MV.DD43..HHN,,,,,,,,0.0
MV.TEST.0S.SHE,,,,,,,,0.0
MV.MBLY.02.EHE,,,,,,,,0.0
MV.MBLY..EHZ,,,,,,,,0.0
MV.MBLY.01.HH1,,,,,,,,0.0
MV.MBBY.0H.HHE,,,,,,,,0.0
MV.MBBY.0H.HHN,,,,,,,,0.0
MV.MBBY.0H.HHZ,,,,,,,,0.0
MV.MBFL.0H.EHZ,,,,,,,,0.0
MV.MBFR.0H.HHE,,,,,,,,0.0
MV.MBFR.0H.HHN,,,,,,,,0.0
MV.MBFR.0H.HHZ,,,,,,,,0.0
MV.MBGB.0H.HHE,,,,,,,,0.0
MV.MBGB.0H.HHN,,,,,,,,0.0
MV.MBGB.0H.HHZ,,,,,,,,0.0
MV.MBGH.0H.HHE,,,,,,,,0.0
MV.MBGH.0H.HHN,,,,,,,,0.0
MV.MBGH.0H.HHZ,,,,,,,,0.0
MV.MBLG.0H.HHE,,,,,,,,0.0
MV.MBLG.0H.HHN,,,,,,,,0.0
MV.MBLG.0H.HHZ,,,,,,,,0.0
MV.MBLY.0H.HHE,,,,,,,,0.0
MV.MBLY.0H.HHN,,,,,,,,0.0
MV.MBLY.0H.HHZ,,,,,,,,0.0
MV.MBRV.0H.EHZ,,,,,,,,0.0
MV.MBRY.0H.HHE,,,,,,,,0.0
MV.MBRY.0H.HHN,,,,,,,,0.0
MV.MBRY.0H.HHZ,,,,,,,,0.0
MV.MBWH.0H.HHE,,,,,,,,0.0
MV.MBWH.0H.HHN,,,,,,,,0.0
MV.MBWH.0H.HHZ,,,,,,,,0.0
